terrace,bedrooms,construction_year,date_month,date_year,date_year_month,floor,rooms,price_room,price_surface,price,surface,zip
yes,2.0,1978.0,3,2016,201603.0,ground floor,2.0,210000.0,4640.883977900552,420000.0,90.5,82152
yes,1.0,1984.0,3,2016,201603.0,up floor,2.0,208000.0,4596.685082872928,416000.0,90.5,81929
yes,2.0,1969.0,3,2016,201603.0,up floor,2.0,209500.0,4629.834254143647,419000.0,90.5,80939
yes,2.0,2015.0,3,2016,201603.0,up floor,2.0,207500.0,4585.635359116022,415000.0,90.5,81243
yes,1.0,1959.0,3,2016,201603.0,up floor,2.0,210000.0,4640.883977900552,420000.0,90.5,81373
yes,1.0,1989.0,3,2016,201603.0,up floor,2.0,202500.0,4475.138121546961,405000.0,90.5,80807
yes,1.0,2004.0,3,2016,201603.0,up floor,2.0,206000.0,4552.486187845304,412000.0,90.5,80992
yes,2.0,1981.0,3,2016,201603.0,up floor,2.0,210000.0,4640.883977900552,420000.0,90.5,80939
yes,2.0,1971.0,3,2016,201603.0,up floor,2.0,206250.0,4558.0110497237565,412500.0,90.5,81927
yes,1.0,1989.0,3,2016,201603.0,up floor,2.0,209750.0,4635.359116022099,419500.0,90.5,85757
yes,2.0,1984.0,3,2016,201603.0,up floor,2.0,204500.0,4519.3370165745855,409000.0,90.5,81241
yes,3.0,1967.0,3,2016,201603.0,up floor,2.0,199150.0,4401.1049723756905,398300.0,90.5,81541
yes,2.0,1961.0,3,2016,201603.0,up floor,2.0,209500.0,4629.834254143647,419000.0,90.5,80687
yes,3.0,1967.0,3,2016,201603.0,up floor,2.0,171125.0,3781.767955801105,342250.0,90.5,81539
yes,2.0,2016.0,3,2016,201603.0,up floor,2.0,204450.0,4518.232044198895,408900.0,90.5,81737
yes,1.0,1965.0,3,2016,201603.0,ground floor,2.0,152500.0,3370.1657458563536,305000.0,90.5,80686
yes,2.0,1974.0,3,2016,201603.0,up floor,2.0,172500.0,3812.1546961325967,345000.0,90.5,82008
yes,1.0,1994.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,81241
yes,2.0,1968.0,3,2016,201603.0,up floor,2.0,199000.0,4397.790055248619,398000.0,90.5,80995
yes,1.0,1962.0,3,2016,201603.0,up floor,2.0,197500.0,4364.640883977901,395000.0,90.5,80687
yes,1.0,2017.0,3,2016,201603.0,up floor,2.0,198000.0,4375.690607734807,396000.0,90.5,81241
yes,1.0,1973.0,3,2016,201603.0,up floor,2.0,196450.0,4341.436464088398,392900.0,90.5,81737
yes,3.0,1976.0,3,2016,201603.0,up floor,2.0,134500.0,2972.3756906077347,269000.0,90.5,80993
yes,3.0,1967.0,3,2016,201603.0,up floor,2.0,168500.0,3723.756906077348,337000.0,90.5,82008
yes,2.0,2000.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,81927
yes,3.0,1968.0,3,2016,201603.0,ground floor,2.0,175000.0,3867.403314917127,350000.0,90.5,81369
yes,2.0,1973.0,3,2016,201603.0,up floor,2.0,144500.0,3193.3701657458564,289000.0,90.5,81737
yes,1.0,1963.0,3,2016,201603.0,up floor,2.0,195000.0,4309.39226519337,390000.0,90.5,80807
yes,2.0,1966.0,3,2016,201603.0,up floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,80995
yes,3.0,1984.0,3,2016,201603.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,80997
yes,2.0,1956.0,3,2016,201603.0,up floor,2.0,189000.0,4176.795580110497,378000.0,90.5,80804
yes,1.0,1966.0,3,2016,201603.0,ground floor,2.0,117500.0,2596.685082872928,235000.0,90.5,81243
yes,2.0,1987.0,3,2016,201603.0,up floor,2.0,187500.0,4143.646408839779,375000.0,90.5,80993
yes,2.0,1997.0,3,2016,201603.0,ground floor,2.0,174950.0,3866.2983425414363,349900.0,90.5,85757
yes,2.0,1973.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,81737
yes,1.0,1890.0,3,2016,201603.0,up floor,2.0,194500.0,4298.342541436464,389000.0,90.5,80339
yes,2.0,1996.0,3,2016,201603.0,up floor,2.0,207500.0,4585.635359116022,415000.0,90.5,81737
yes,1.0,1969.0,4,2016,201604.0,up floor,2.0,177500.0,3922.6519337016575,355000.0,90.5,81735
yes,3.0,1968.0,4,2016,201604.0,ground floor,2.0,175000.0,3867.403314917127,350000.0,90.5,81369
yes,2.0,1993.0,4,2016,201604.0,up floor,2.0,176500.0,3900.5524861878453,353000.0,90.5,81243
yes,2.0,1978.0,4,2016,201604.0,ground floor,2.0,189500.0,4187.845303867403,379000.0,90.5,81371
yes,2.0,1973.0,4,2016,201604.0,up floor,2.0,162500.0,3591.160220994475,325000.0,90.5,82061
yes,1.0,1973.0,4,2016,201604.0,up floor,2.0,169750.0,3751.3812154696134,339500.0,90.5,81737
yes,1.0,1973.0,4,2016,201604.0,up floor,2.0,169400.0,3743.646408839779,338800.0,90.5,81737
yes,1.0,2016.0,4,2016,201604.0,up floor,2.0,195000.0,4309.39226519337,390000.0,90.5,81549
yes,2.0,1965.0,4,2016,201604.0,up floor,2.0,149000.0,3292.817679558011,298000.0,90.5,80933
yes,3.0,1984.0,4,2016,201604.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,80997
yes,1.0,1972.0,4,2016,201604.0,up floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,85757
yes,2.0,1971.0,7,2016,201607.0,up floor,3.0,110000.0,3646.4088397790056,330000.0,90.5,80686
yes,2.0,1968.0,7,2016,201607.0,up floor,2.0,171500.0,3790.0552486187844,343000.0,90.5,82008
yes,2.0,1982.0,7,2016,201607.0,up floor,2.0,195000.0,4333.333333333333,390000.0,90.0,81739
yes,3.0,1972.0,7,2016,201607.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,80997
yes,2.0,1963.0,7,2016,201607.0,ground floor,2.0,202500.0,4475.138121546961,405000.0,90.5,81475
yes,1.0,1983.0,7,2016,201607.0,ground floor,2.0,174500.0,3856.353591160221,349000.0,90.5,81379
yes,2.0,1996.0,7,2016,201607.0,up floor,2.0,169500.0,3745.8563535911603,339000.0,90.5,85757
yes,2.0,1966.0,7,2016,201607.0,up floor,2.0,142500.0,3149.171270718232,285000.0,90.5,85757
yes,2.0,1967.0,7,2016,201607.0,up floor,2.0,159500.0,3544.4444444444443,319000.0,90.0,82008
yes,2.0,1976.0,7,2016,201607.0,up floor,3.0,128333.33333333333,4254.14364640884,385000.0,90.5,81925
yes,1.0,1983.0,7,2016,201607.0,ground floor,2.0,191500.0,4232.044198895028,383000.0,90.5,81541
yes,2.0,1997.0,7,2016,201607.0,up floor,2.0,180000.0,3977.9005524861877,360000.0,90.5,80995
yes,1.0,1975.0,7,2016,201607.0,up floor,2.0,185000.0,4088.3977900552486,370000.0,90.5,81927
yes,2.0,1989.0,7,2016,201607.0,up floor,2.0,117500.0,2596.685082872928,235000.0,90.5,81737
yes,1.0,1971.0,7,2016,201607.0,up floor,2.0,170000.0,3756.9060773480664,340000.0,90.5,81927
yes,2.0,1970.0,7,2016,201607.0,up floor,2.0,134500.0,2972.3756906077347,269000.0,90.5,81243
yes,1.0,1972.0,7,2016,201607.0,up floor,2.0,199000.0,4397.790055248619,398000.0,90.5,81735
